"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Daniel Robertson","Rays","90","378","324","78","15","1","8","42","35","41","89","9","2","2",".240",".338",".370",".708",".315","1.9","-0.2","1.7","578.4","14145"
"Eduardo Nunez","Red Sox","43","182","172","48","10","1","4","21","21","7","25","1","5","2",".282",".314",".416",".730",".315","-0.3","0.0","0.4","519.8","6848"
"Jed Lowrie","Mets","127","534","471","115","26","1","13","60","55","56","99","3","0","0",".244",".326",".389",".715",".313","0.4","-0.9","1.9","389.2","4418"
"Daniel Descalso","Cubs","63","263","224","51","10","2","7","30","30","34","65","2","1","1",".227",".330",".378",".708",".311","-1.5","0.1","0.5","599.5","8392"
"Franklin Barreto","Athletics","50","210","191","45","8","1","9","25","26","13","66","3","4","2",".236",".295",".427",".722",".310","0.6","0.2","0.7","568.5","15519"
"Neil Walker","Marlins","114","479","422","103","17","2","13","51","51","47","94","4","1","1",".244",".324",".388",".712",".310","-0.8","-0.1","0.7","571.5","7539"
"Jose Peraza","Reds","143","602","558","156","24","5","11","68","56","27","72","7","23","8",".280",".319",".396",".715",".309","-2.2","2.0","1.8","95.7","13593"
"Devon Travis","Blue Jays","83","350","327","85","19","2","9","41","40","17","62","3","4","2",".261",".301",".417",".719",".309","-2.6","0.2","0.8","598.8","13862"
"Austin Barnes","Dodgers","91","384","329","78","16","1","7","44","38","45","84","6","8","2",".237",".338",".357",".695",".308","0.6","0.2","3.1","323.4","12158"
"Yangervis Solarte","Giants","68","287","263","67","14","1","7","29","33","19","39","2","1","1",".257",".311",".399",".710",".308","-1.1","-1.3","0.5","577.4","5352"
"Jonathan Villar","Orioles","158","665","597","148","26","2","18","78","62","57","178","4","42","12",".248",".316",".387",".703",".307","-5.0","3.3","1.8","76.9","10071"
"Starlin Castro","Marlins","152","637","590","158","30","2","15","67","63","37","119","3","5","3",".267",".311",".399",".710",".306","-3.5","-0.9","1.5","426.8","4579"
"Luis Urias","Padres","149","624","545","134","25","5","8","69","50","62","124","9","5","2",".247",".331",".357",".688",".305","3.7","0.2","2.3","481.8","16622"
"Ian Kinsler","Padres","90","379","342","84","17","1","10","46","32","30","52","4","10","4",".246",".313",".385",".698",".305","3.7","0.3","1.4","485.8","6195"
"Jose Pirela","Padres","12","50","46","12","3","0","1","5","5","3","9","0","1","0",".259",".311",".390",".702",".305","-0.1","-0.1","0.1","600.7","5485"
"Cory Spangenberg","Padres","19","80","73","18","3","1","2","9","8","6","23","1","2","1",".245",".306",".394",".700",".304","-0.2","0.3","0.2","599.3","12294"
"Josh Harrison","Tigers","133","560","513","134","26","3","11","63","55","27","98","12","8","3",".261",".310",".390",".699",".304","-1.9","1.0","1.3","526.3","8202"
"Lourdes Gurriel Jr.","Blue Jays","75","315","294","75","14","1","10","36","36","14","65","3","4","2",".257",".295",".409",".704",".302","-2.7","-0.2","0.7","278.5","19238"
"Greg Garcia","Padres","43","179","153","37","7","1","2","17","13","21","36","3","2","1",".240",".339",".330",".669",".300","-0.2","0.2","0.4","999.0","10951"
"Ildemaro Vargas","Diamondbacks","17","70","65","18","3","1","1","7","7","3","7","0","1","0",".270",".309",".383",".691",".300","0.0","0.0","0.1","999.0","13324"
"Brandon Drury","Blue Jays","88","371","336","81","20","1","8","37","37","27","89","4","2","1",".242",".304",".384",".688",".299","-1.3","-0.6","0.5","588.5","11615"
"Niko Goodrum","Tigers","145","609","553","129","28","4","17","65","65","46","165","4","14","6",".234",".297",".392",".688",".298","-4.3","0.9","0.3","324.3","12092"
"Breyvic Valera","Giants","8","35","32","8","1","0","0","3","3","3","4","0","1","0",".264",".321",".358",".679",".298","-0.1","-0.1","0.1","999.0","12758"
"Max Moroff","Indians","48","203","173","37","8","1","5","23","23","26","60","1","3","1",".213",".319",".352",".670",".298","0.2","0.1","0.4","999.0","14556"
"Kevin Kramer","Pirates","19","78","71","18","4","0","2","8","8","5","19","1","1","1",".249",".305",".379",".684",".298","-0.1","0.0","0.2","600.2","17689"
"Alex Blandino","Reds","15","64","56","13","3","0","1","6","6","6","17","1","1","1",".228",".315",".357",".672",".297","0.0","-0.1","0.1","601.0","16271"
"Ronny Rodriguez","Tigers","20","84","79","20","4","1","2","9","9","3","17","0","2","1",".256",".287",".404",".691",".297","-0.5","-0.1","0.1","999.0","11875"
"Yolmer Sanchez","White Sox","147","616","561","137","28","7","11","64","60","41","132","6","12","6",".244",".301",".378",".679",".296","3.0","-0.3","1.6","573.0","11602"
"Joey Wendle","Rays","125","525","484","124","27","4","9","56","52","27","103","7","11","3",".256",".303",".382",".684",".295","3.8","0.8","1.6","222.4","13853"
"Marco Hernandez","Red Sox","2","7","7","2","0","0","0","1","1","0","2","0","0","0",".263",".296",".386",".682",".295","-0.1","0.0","0.0","999.0","13154"
"Jace Peterson","Orioles","2","7","6","1","0","0","0","1","1","1","2","0","0","0",".229",".323",".337",".660",".294","0.0","0.0","0.0","999.0","12325"
"Jace Peterson","Orioles","17","70","60","14","3","0","1","7","6","8","15","0","2","1",".229",".323",".337",".660",".294","-0.3","0.0","0.1","999.0","12325"
"Alen Hanson","Giants","17","70","65","16","3","1","1","8","7","4","14","0","3","1",".249",".289",".393",".682",".294","0.0","0.1","0.1","592.8","12926"
"Brandon Phillips","","17","70","65","17","3","0","1","8","7","3","11","1","1","1",".260",".300",".374",".673",".293","-0.1","-0.2","0.1","999.0","791"
"Tommy La Stella","Angels","47","196","175","43","9","0","3","20","18","17","32","2","1","1",".246",".318",".343",".660",".292","-1.5","-0.3","0.2","999.0","12371"
"Gordon Beckham","Tigers","3","14","13","3","1","0","0","1","1","1","2","0","0","0",".239",".304",".357",".661",".290","0.0","0.0","0.0","999.0","9015"
"David Fletcher","Angels","127","532","496","130","26","3","5","55","47","25","62","5","9","3",".263",".303",".360",".663",".290","4.5","0.9","1.5","583.3","17992"
"Dee Gordon","Mariners","153","644","606","169","21","7","4","74","44","20","94","7","38","13",".279",".308",".355",".663",".289","-1.0","3.6","1.5","106.2","8203"
"Kevin Newman","Pirates","58","245","226","60","12","1","2","24","21","14","32","2","7","3",".264",".309",".354",".663",".289","0.6","0.2","0.5","599.2","17696"
"Wilmer Difo","Nationals","42","177","161","40","7","2","3","19","16","13","34","1","5","1",".249",".306",".362",".668",".289","0.9","0.4","0.3","597.8","14320"
"Erik Gonzalez","Pirates","134","561","529","134","27","3","11","58","55","21","142","4","12","5",".253",".285",".376",".660",".286","-1.9","0.3","0.7","595.9","13369"
"Luis Guillorme","Mets","12","50","45","11","2","0","0","5","4","4","7","0","0","0",".248",".316",".320",".636",".284","0.0","0.0","0.1","999.0","16451"
"Ronald Torreyes","Twins","8","35","33","9","2","0","0","3","3","1","5","0","0","0",".267",".300",".349",".649",".283","0.1","0.0","0.0","999.0","11400"
"Tyler Saladino","Padres","20","86","78","18","3","1","2","9","8","6","20","1","2","1",".229",".292",".348",".641",".282","0.1","0.2","0.0","999.0","10807"
"Dawel Lugo","Tigers","3","14","13","3","1","0","0","1","1","0","2","0","0","0",".260",".285",".365",".651",".282","0.0","0.0","0.0","999.0","14713"
"Abiatal Avelino","Giants","5","21","20","5","1","0","0","2","2","1","4","0","1","0",".242",".285",".361",".646",".280","0.0","0.0","0.0","999.0","15496"
"Tyler Wade","Yankees","37","154","138","32","6","1","2","17","13","13","37","1","5","2",".229",".297",".337",".634",".280","-0.1","0.1","0.0","999.0","15730"
"Kaleb Cowart","Angels","3","14","13","3","1","0","0","1","1","1","4","0","0","0",".222",".280",".348",".627",".274","0.0","0.0","0.0","600.7","11494"
"Adrian Sanchez","Nationals","12","50","47","12","2","0","1","5","5","2","9","0","1","1",".247",".284",".346",".629",".273","0.0","0.0","0.0","999.0","11338"
"Edmundo Sosa","Cardinals","5","21","20","5","1","0","0","2","2","1","4","0","0","0",".238",".277",".344",".621",".270","0.0","0.0","0.0","999.0","17022"
"Steve Wilkerson","Orioles","2","7","6","1","0","0","0","1","1","0","2","0","0","0",".225",".283",".317",".600",".265","0.0","0.0","0.0","999.0","16041"
"Blake Trahan","Reds","3","14","13","3","0","0","0","1","1","1","3","0","0","0",".216",".283",".286",".569",".255","0.0","0.0","0.0","999.0","17588"
