"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Joey Votto","Reds","153","644","519","148","28","2","21","84","80","112","107","7","4","1",".284",".415",".466",".881",".381","1.8","-2.9","3.9","65.5","4314"
"Freddie Freeman","Braves","157","658","565","165","39","3","27","91","93","80","132","8","8","3",".292",".384",".513",".897",".379","5.2","0.4","4.6","21.7","5361"
"Anthony Rizzo","Cubs","155","651","548","153","33","2","28","88","98","78","89","19","8","4",".279",".384",".501",".885",".375","4.9","-1.4","4.3","38.0","3473"
"Paul Goldschmidt","Cardinals","157","658","553","151","29","3","27","92","90","93","157","7","12","4",".273",".382",".484",".866",".368","3.7","1.4","4.2","19.0","9218"
"Joey Gallo","Rangers","143","602","506","111","22","3","43","91","97","85","218","8","7","3",".219",".339",".527",".865",".366","-2.1","1.7","3.4","100.3","14128"
"Cody Bellinger","Dodgers","150","630","550","145","28","5","33","89","99","72","148","3","12","3",".263",".350",".513",".863",".362","3.2","1.8","4.4","43.5","15998"
"Matt Carpenter","Cardinals","148","623","515","130","33","2","25","92","74","94","142","7","3","2",".252",".372",".471",".843",".360","-5.3","-0.2","3.8","74.1","8090"
"Miguel Cabrera","Tigers","133","560","488","136","26","1","20","66","75","65","110","3","1","1",".279",".365",".464",".828",".352","0.0","-3.1","2.0","157.1","1744"
"Luke Voit","Yankees","117","490","434","114","20","2","22","64","71","45","116","6","1","1",".263",".340",".466",".806",".347","0.2","0.0","1.8","177.5","14811"
"Carlos Santana","Indians","150","630","526","129","28","2","23","80","83","95","96","3","4","1",".245",".361",".436",".797",".346","0.1","-0.3","1.7","200.4","2396"
"Max Muncy","Dodgers","140","590","499","120","22","2","27","77","81","80","157","6","4","1",".240",".349",".456",".805",".346","-1.2","0.4","2.5","124.0","13301"
"Jose Abreu","White Sox","150","630","573","159","34","2","26","76","92","39","123","13","2","0",".277",".335",".480",".815",".345","-0.9","-1.2","2.0","86.8","15676"
"Matt Olson","Athletics","133","560","487","116","26","1","28","74","80","64","145","6","2","1",".239",".332",".471",".802",".343","5.9","-0.6","2.8","133.1","14344"
"Steve Pearce","Red Sox","82","343","302","79","16","1","13","43","47","32","65","6","0","1",".261",".340",".457",".797",".343","-0.8","-0.6","0.9","577.4","9957"
"Wilmer Flores","Diamondbacks","144","604","554","156","35","1","23","71","89","37","73","6","2","1",".282",".330",".475",".805",".343","-4.4","-1.6","2.5","417.4","5827"
"Josh Bell","Pirates","147","616","535","143","29","4","18","75","77","73","110","2","4","4",".267",".354",".439",".793",".343","-3.6","-2.1","1.6","265.9","13145"
"Brandon Belt","Giants","145","609","519","131","31","4","19","72","69","80","148","6","4","2",".251",".355",".435",".790",".341","7.9","0.1","3.0","432.5","10264"
"Eric Thames","Brewers","55","231","199","46","10","1","12","31","32","27","72","3","4","1",".232",".331",".472",".803",".341","-0.7","0.1","0.9","539.0","3711"
"Jose Martinez","Cardinals","111","466","420","120","23","1","13","54","60","39","84","2","3","1",".287",".348",".439",".787",".341","-1.9","-0.3","1.7","247.9","7996"
"C.J. Cron","Twins","115","483","438","114","25","2","23","59","73","31","112","10","2","2",".260",".320",".479",".799",".341","0.8","-0.9","1.5","247.6","12546"
"Jesus Aguilar","Brewers","150","630","559","140","27","1","32","80","102","59","163","6","0","0",".250",".325",".473",".798",".340","2.3","-0.9","2.0","82.2","11342"
"Edwin Encarnacion","Mariners","145","609","521","123","20","1","30","77","92","75","141","6","2","0",".236",".336",".453",".789",".340","0.0","-2.3","1.8","138.2","2151"
"Ryan Zimmerman","Nationals","129","540","486","127","27","1","23","67","83","43","114","4","2","1",".261",".324",".468",".792",".338","-2.6","-0.3","1.1","420.3","4220"
"Daniel Vogelbach","Mariners","27","112","96","24","4","0","4","14","14","15","25","1","0","0",".248",".350",".424",".774",".338","0.0","-0.1","0.4","590.6","14130"
"Justin Smoak","Blue Jays","153","644","557","131","29","1","29","78","88","79","168","3","1","1",".236",".333",".449",".782",".337","1.4","-2.3","2.0","231.9","9054"
"Tyler White","Astros","137","574","506","128","25","2","22","70","79","56","121","6","3","2",".253",".333",".439",".771",".334","0.0","-0.2","1.6","277.0","15564"
"Matt Adams","Nationals","58","245","223","56","12","0","12","29","40","19","58","2","0","0",".253",".313",".470",".784",".332","0.8","-0.2","0.8","570.5","9393"
"Justin Bour","Angels","97","406","353","85","14","1","19","47","60","48","102","1","1","0",".241",".332",".445",".777",".332","-0.6","-1.4","1.0","457.9","9744"
"Wil Myers","Padres","147","616","544","133","30","3","25","78","79","62","167","4","20","5",".245",".324",".447",".771",".331","-0.5","2.3","2.3","101.5","10047"
"Marwin Gonzalez","Twins","118","497","446","119","26","2","16","57","63","41","105","4","5","3",".266",".332",".437",".769",".331","0.4","-0.7","1.9","236.3","5497"
"Ryan McMahon","Rockies","139","583","529","142","31","4","18","67","73","45","155","4","7","3",".269",".328",".445",".772",".331","0.0","0.5","1.4","364.5","15112"
"Eric Hosmer","Padres","155","651","581","155","28","2","21","78","80","64","129","1","7","3",".267",".338",".429",".768",".330","0.2","-1.0","1.5","176.4","3516"
"Yonder Alonso","White Sox","142","595","523","127","22","0","25","70","76","65","135","3","1","0",".243",".328",".429",".757",".327","-1.2","-0.9","1.1","339.0","2530"
"Trey Mancini","Orioles","148","623","570","148","26","4","25","71","77","43","154","5","1","1",".259",".314",".448",".762",".327","-7.3","-0.2","1.0","250.8","15149"
"Logan Morrison","","117","490","427","98","19","1","22","57","66","54","114","6","3","1",".229",".322",".435",".757",".327","-0.7","-0.2","0.9","599.8","9205"
"Greg Bird","Yankees","42","175","152","34","8","0","8","21","24","19","44","2","0","0",".225",".316",".440",".756",".326","0.0","-0.1","0.3","498.8","14131"
"Jake Bauers","Indians","147","616","534","130","32","2","18","75","77","71","142","4","16","9",".243",".334",".411",".745",".325","1.3","0.4","1.2","231.6","15194"
"Lucas Duda","Royals","17","70","61","14","3","0","3","8","10","7","20","1","0","0",".228",".316",".442",".758",".324","0.0","-0.1","0.1","600.7","2502"
"Lucas Duda","Royals","83","350","306","70","16","0","16","39","50","35","100","6","1","0",".228",".316",".442",".758",".324","-0.2","-0.6","0.6","600.7","2502"
"Ian Desmond","Rockies","124","520","471","123","20","4","17","65","69","40","125","5","16","5",".261",".323",".428",".750",".324","-3.9","1.3","0.6","145.2","6885"
"Ji-Man Choi","Rays","100","420","362","86","19","1","14","46","49","50","110","3","3","2",".237",".331",".410",".742",".323","-0.1","-0.4","0.7","560.7","5452"
"Mitch Moreland","Red Sox","83","350","312","76","18","1","12","41","48","32","82","3","1","0",".245",".320",".430",".750",".322","2.3","-0.8","0.6","570.5","3086"
"Yuli Gurriel","Astros","133","560","522","145","35","1","14","65","74","25","71","7","4","1",".278",".317",".433",".749",".322","-3.5","-0.7","0.9","200.3","19198"
"Tyler Austin","Twins","17","70","63","15","3","0","3","8","10","6","23","0","0","0",".235",".302",".451",".753",".322","0.0","0.0","0.1","593.3","11850"
"Hanley Ramirez","Indians","7","28","25","6","1","0","1","3","4","2","6","0","0","0",".247",".319",".429",".748",".321","0.0","-0.1","0.0","580.9","8001"
"Christian Walker","Diamondbacks","46","195","177","43","10","1","8","23","26","14","54","2","1","0",".243",".303",".441",".744",".319","0.0","0.0","0.4","591.5","13419"
"Rowdy Tellez","Blue Jays","5","21","19","5","1","0","1","2","3","2","4","0","0","0",".252",".311",".428",".739",".317","0.0","0.0","0.0","581.8","15679"
"Jose Osuna","Pirates","10","43","40","10","3","0","1","5","5","3","8","0","0","0",".263",".311",".426",".737",".316","-0.1","0.0","0.1","999.0","12937"
"Ronald Guzman","Rangers","133","560","504","126","22","3","18","63","67","45","136","7","2","1",".249",".318",".411",".729",".316","3.1","0.3","0.6","512.6","14388"
"Victor Caratini","Cubs","44","183","164","42","9","1","4","20","20","15","37","2","0","0",".259",".326",".395",".722",".315","-1.0","0.0","0.6","595.9","14968"
"Ryan O'Hearn","Royals","138","581","516","119","28","3","21","65","70","56","156","4","2","0",".231",".308",".418",".726",".314","-1.5","-0.1","0.4","442.7","16442"
"David Freese","Dodgers","52","217","192","47","8","1","6","23","27","18","56","5","0","0",".246",".324",".389",".713",".311","0.3","-0.9","0.4","594.6","9549"
"A.J. Reed","Astros","10","42","37","8","2","0","2","5","6","4","13","0","0","0",".223",".302",".416",".718",".310","0.0","0.0","0.0","599.4","16246"
"Matt Davidson","Rangers","20","84","75","17","3","0","4","9","12","7","28","1","0","0",".223",".300",".415",".715",".310","-0.1","-0.1","0.0","598.7","7226"
"Ryon Healy","Mariners","108","455","426","107","19","1","18","48","60","23","103","3","0","1",".251",".291",".428",".719",".309","-3.6","-1.0","0.6","446.3","15447"
"Garrett Cooper","Marlins","51","215","195","49","11","1","5","21","23","15","48","2","1","1",".250",".309",".387",".697",".303","0.2","0.0","0.3","999.0","15279"
"Chris Davis","Orioles","125","525","457","91","16","0","24","57","65","57","194","6","2","1",".199",".294",".391",".685",".298","0.6","-0.2","-0.1","581.9","9272"
"Sam Travis","Red Sox","2","7","6","2","0","0","0","1","1","1","2","0","0","0",".248",".306",".367",".673",".295","0.0","0.0","0.0","999.0","16263"
"Hunter Dozier","Royals","128","539","491","113","28","3","14","55","54","42","159","2","4","3",".229",".291",".383",".674",".293","-5.8","-0.8","-0.1","569.7","15117"
"Dominic Smith","Mets","3","14","13","3","1","0","0","1","1","1","3","0","0","0",".239",".292",".381",".672",".292","0.0","0.0","0.0","592.5","15653"
"Brandon Dixon","Tigers","23","98","91","21","5","0","3","11","11","5","30","1","2","1",".233",".281",".397",".678",".291","0.7","0.1","0.0","600.8","15214"
"John Hicks","Tigers","79","333","309","75","15","1","9","35","36","19","87","2","3","1",".243",".288",".381",".669",".290","-0.1","-0.4","-0.4","384.7","12547"
"Taylor Davis","Cubs","3","13","12","3","1","0","0","1","1","1","2","0","0","0",".244",".304",".348",".652",".287","-0.1","0.0","0.0","999.0","12782"
"Ryder Jones","Giants","2","7","6","2","0","0","0","1","1","0","2","0","0","0",".238",".286",".377",".663",".286","0.0","0.0","0.0","999.0","15982"
"Peter O'Brien","Marlins","92","385","347","68","14","1","17","40","46","32","145","3","1","0",".194",".265",".384",".649",".280","-3.1","0.0","-0.6","585.0","13288"
"Aramis Garcia","Giants","12","51","48","10","2","0","1","5","5","3","15","0","0","0",".219",".266",".353",".618",".269","0.1","0.0","0.1","595.3","16925"
